via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona
Calle,31,Avenida,66,Avenida,68,Calle 31 entre Avenida 66 y Avenida 68,250,Punta Gotica
Calle,31,Avenida,68,Avenida,70,Calle 31 entre Avenida 68 y Avenida 70,250,Punta Gotica
Calle,31,Avenida,29,Avenida,84,Calle 31 entre Avenida 29 y Avenida 84,350,Pastorita
Calle,31,Avenida,84,Avenida,86,Calle 31 entre Avenida 84 y Avenida 86,350,Pastorita
Calle,31,Avenida,86,Avenida,88,Calle 31 entre Avenida 86 y Avenida 88,350,Pastorita
Calle,31,Avenida,88,Avenida,90,Calle 31 entre Avenida 88 y Avenida 90,350,Pastorita
Calle,31,Avenida,90,Calle,CARRETERA DEL PUERTO,Calle 31 entre Avenida 90 y Calle CARRETERA DEL PUERTO,350,Pastorita
Calle,33,Avenida,2,Avenida,4,Calle 33 entre Avenida 2 y Avenida 4,300,Punta Gorda
Calle,33,Avenida,40,Avenida,42,Calle 33 entre Avenida 40 y Avenida 42,250,Casco Historico
Calle,33,Avenida,42,Avenida,44,Calle 33 entre Avenida 42 y Avenida 44,250,Casco Historico
Calle,33,Avenida,46,Avenida,48,Calle 33 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,33,Avenida,48,Avenida,50,Calle 33 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,33,Avenida,50,Avenida,52,Calle 33 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,33,Avenida,52,Avenida,54,Calle 33 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,33,Avenida,54,Avenida,56,Calle 33 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,33,Avenida,56,Avenida,58,Calle 33 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,33,Avenida,58,Avenida,60,Calle 33 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,33,Avenida,60,Avenida,62,Calle 33 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,33,Avenida,62,Avenida,64,Calle 33 entre Avenida 62 y Avenida 64,250,Casco Historico
Calle,33,Avenida,64,Avenida,66,Calle 33 entre Avenida 64 y Avenida 66,300,Punta Gotica
Calle,33,Avenida,66,Avenida,68,Calle 33 entre Avenida 66 y Avenida 68,300,Punta Gotica
Calle,33,Avenida,68,Avenida,70,Calle 33 entre Avenida 68 y Avenida 70,300,Punta Gotica
Calle,33,Avenida,70,Avenida,72,Calle 33 entre Avenida 70 y Avenida 72,300,Punta Gotica
Calle,33,Avenida,72,Avenida,74,Calle 33 entre Avenida 72 y Avenida 74,300,Punta Gotica
Calle,33A,Calle,33,Avenida,84,Calle 33A entre Calle 33 y Avenida 84,350,Pastorita
Calle,33A,Avenida,84,Avenida,86,Calle 33A entre Avenida 84 y Avenida 86,350,Pastorita
Calle,33A,Avenida,86,Avenida,88,Calle 33A entre Avenida 86 y Avenida 88,350,Pastorita
Calle,33,Avenida,82,Calle,33A,Calle 33 entre Avenida 82 y Calle 33A,350,Pastorita
Calle,33,Calle,33A,Avenida,84,Calle 33 entre Calle 33A y Avenida 84,350,Pastorita
Calle,35,Avenida,0,Avenida,litoral,Calle 35 entre Avenida 0 y Avenida litoral,350,Litoral
Calle,35,Avenida,0,Avenida,2,Calle 35 entre Avenida 0 y Avenida 2,300,Punta Gorda
Calle,35,Avenida,2,Avenida,4,Calle 35 entre Avenida 2 y Avenida 4,300,Punta Gorda
Calle,35,Avenida,4,Avenida,6,Calle 35 entre Avenida 4 y Avenida 6,300,Punta Gorda
Calle,35,Avenida,6,Avenida,8,Calle 35 entre Avenida 6 y Avenida 8,300,Punta Gorda
Calle,35,Avenida,12,Avenida,14,Calle 35 entre Avenida 12 y Avenida 14,250,Punta Gorda
Calle,35,Avenida,14,Avenida,16,Calle 35 entre Avenida 14 y Avenida 16,250,Punta Gorda
Calle,35,Avenida,16,Avenida,18,Calle 35 entre Avenida 16 y Avenida 18,250,Punta Gorda
Calle,35,Avenida,18,Avenida,20,Calle 35 entre Avenida 18 y Avenida 20,250,Punta Gorda
Calle,35,Avenida,20,Avenida,22,Calle 35 entre Avenida 20 y Avenida 22,250,Punta Gorda
Calle,35,Avenida,38,Avenida,40,Calle 35 entre Avenida 38 y Avenida 40,250,Casco Historico
Calle,35,Avenida,40,Avenida,42,Calle 35 entre Avenida 40 y Avenida 42,250,Casco Historico
Calle,35,Avenida,42,Avenida,44,Calle 35 entre Avenida 42 y Avenida 44,250,Casco Historico
Calle,35,Avenida,44,Avenida,46,Calle 35 entre Avenida 44 y Avenida 46,250,Casco Historico
Calle,35,Avenida,46,Avenida,48,Calle 35 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,35,Avenida,48,Avenida,50,Calle 35 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,35,Avenida,50,Avenida,52,Calle 35 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,35,Avenida,52,Avenida,54,Calle 35 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,35,Avenida,54,Avenida,56,Calle 35 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,35,Avenida,56,Avenida,58,Calle 35 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,35,Avenida,58,Avenida,60,Calle 35 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,35,Avenida,60,Avenida,62,Calle 35 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,35,Avenida,62,Avenida,64,Calle 35 entre Avenida 62 y Avenida 64,250,Casco Historico
Calle,35,Avenida,64,Avenida,66,Calle 35 entre Avenida 64 y Avenida 66,300,Punta Gotica
Calle,35,Avenida,66,Avenida,68,Calle 35 entre Avenida 66 y Avenida 68,300,Punta Gotica
Calle,35,Avenida,68,Avenida,70,Calle 35 entre Avenida 68 y Avenida 70,300,Punta Gotica
Calle,35,Avenida,70,Avenida,72,Calle 35 entre Avenida 70 y Avenida 72,300,Punta Gotica
Calle,35,Avenida,82,Avenida,84,Calle 35 entre Avenida 82 y Avenida 84,350,Pastorita
Calle,35,Avenida,84,Avenida,86,Calle 35 entre Avenida 84 y Avenida 86,350,Pastorita
Calle,35,Avenida,86,Avenida,88,Calle 35 entre Avenida 86 y Avenida 88,350,Pastorita
Calle,35,Avenida,88,Avenida,90,Calle 35 entre Avenida 88 y Avenida 90,350,Pastorita
Calle,37,Avenida,0,Avenida,2,Calle 37 entre Avenida 0 y Avenida 2,300,Punta Gorda
Calle,37,Avenida,2,Avenida,4,Calle 37 entre Avenida 2 y Avenida 4,300,Punta Gorda
Calle,37,Avenida,4,Avenida,6,Calle 37 entre Avenida 4 y Avenida 6,300,Punta Gorda
Calle,37,Avenida,6,Avenida,8,Calle 37 entre Avenida 6 y Avenida 8,300,Punta Gorda
Calle,37,Avenida,8,Avenida,10,Calle 37 entre Avenida 8 y Avenida 10,300,Punta Gorda
Calle,37,Avenida,10,Avenida,12,Calle 37 entre Avenida 10 y Avenida 12,300,Punta Gorda
Calle,37,Avenida,12,Avenida,14,Calle 37 entre Avenida 12 y Avenida 14,250,Punta Gorda
Calle,37,Avenida,14,Avenida,16,Calle 37 entre Avenida 14 y Avenida 16,250,Punta Gorda
Calle,37,Avenida,16,Avenida,18,Calle 37 entre Avenida 16 y Avenida 18,250,Punta Gorda
Calle,37,Avenida,18,Avenida,20,Calle 37 entre Avenida 18 y Avenida 20,250,Punta Gorda
Calle,37,Avenida,20,Avenida,22,Calle 37 entre Avenida 20 y Avenida 22,250,Punta Gorda
Calle,37,Avenida,22,Avenida,24,Calle 37 entre Avenida 22 y Avenida 24,250,Casco Historico
Calle,37,Avenida,24,Avenida,26,Calle 37 entre Avenida 24 y Avenida 26,250,Casco Historico
Calle,37,Avenida,26,Avenida,28,Calle 37 entre Avenida 26 y Avenida 28,250,Casco Historico
Calle,37,Avenida,28,Avenida,30,Calle 37 entre Avenida 28 y Avenida 30,250,Casco Historico
Calle,37,Avenida,30,Avenida,32,Calle 37 entre Avenida 30 y Avenida 32,250,Casco Historico
Calle,37,Avenida,32,Avenida,34,Calle 37 entre Avenida 32 y Avenida 34,250,Casco Historico
Calle,37,Avenida,34,Avenida,36,Calle 37 entre Avenida 34 y Avenida 36,250,Casco Historico
Calle,37,Avenida,36,Avenida,38,Calle 37 entre Avenida 36 y Avenida 38,250,Casco Historico
Calle,37,Avenida,38,Avenida,40,Calle 37 entre Avenida 38 y Avenida 40,250,Casco Historico
Calle,37,Avenida,40,Avenida,42,Calle 37 entre Avenida 40 y Avenida 42,250,Casco Historico
Calle,37,Avenida,42,Avenida,44,Calle 37 entre Avenida 42 y Avenida 44,250,Casco Historico
Calle,37,Avenida,44,Avenida,46,Calle 37 entre Avenida 44 y Avenida 46,250,Casco Historico
Calle,37,Avenida,46,Avenida,48,Calle 37 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,37,Avenida,48,Avenida,50,Calle 37 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,37,Avenida,50,Avenida,52,Calle 37 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,37,Avenida,52,Avenida,54,Calle 37 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,37,Avenida,54,Avenida,56,Calle 37 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,37,Avenida,56,Avenida,58,Calle 37 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,37,Avenida,58,Avenida,60,Calle 37 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,37,Avenida,60,Avenida,62,Calle 37 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,37,Avenida,62,Avenida,64,Calle 37 entre Avenida 62 y Avenida 64,250,Casco Historico
Calle,37,Avenida,64,Avenida,66,Calle 37 entre Avenida 64 y Avenida 66,300,Punta Gotica
Calle,37,Avenida,66,Avenida,68,Calle 37 entre Avenida 66 y Avenida 68,300,Punta Gotica
Calle,37,Avenida,68,Avenida,70,Calle 37 entre Avenida 68 y Avenida 70,300,Punta Gotica
Calle,37,Avenida,70,Avenida,72,Calle 37 entre Avenida 70 y Avenida 72,300,Punta Gotica
Calle,37,Avenida,72,Avenida,74,Calle 37 entre Avenida 72 y Avenida 74,300,San Lazaro
Calle,39,Avenida,4,Avenida,6,Calle 39 entre Avenida 4 y Avenida 6,300,Punta Gorda
Calle,39,Avenida,6,Avenida,8,Calle 39 entre Avenida 6 y Avenida 8,300,Punta Gorda
Calle,39,Avenida,8,Avenida,10,Calle 39 entre Avenida 8 y Avenida 10,300,Punta Gorda
Calle,39,Avenida,10,Avenida,12,Calle 39 entre Avenida 10 y Avenida 12,300,Punta Gorda
Calle,39,Avenida,12,Avenida,14,Calle 39 entre Avenida 12 y Avenida 14,250,Punta Gorda
Calle,39,Avenida,14,Avenida,16,Calle 39 entre Avenida 14 y Avenida 16,250,Punta Gorda
Calle,39,Avenida,16,Avenida,18,Calle 39 entre Avenida 16 y Avenida 18,250,Punta Gorda
Calle,39,Avenida,18,Avenida,20,Calle 39 entre Avenida 18 y Avenida 20,250,Punta Gorda
Calle,39,Avenida,20,Avenida,22,Calle 39 entre Avenida 20 y Avenida 22,250,Punta Gorda
Calle,39,Avenida,22,Avenida,24,Calle 39 entre Avenida 22 y Avenida 24,250,Casco Historico
Calle,39,Avenida,24,Avenida,26,Calle 39 entre Avenida 24 y Avenida 26,250,Casco Historico
Calle,39,Avenida,32,Avenida,34,Calle 39 entre Avenida 32 y Avenida 34,250,Casco Historico
Calle,39,Avenida,34,Avenida,36,Calle 39 entre Avenida 34 y Avenida 36,250,Casco Historico
Calle,39,Avenida,36,Avenida,38,Calle 39 entre Avenida 36 y Avenida 38,250,Casco Historico
Calle,39,Avenida,38,Avenida,40,Calle 39 entre Avenida 38 y Avenida 40,250,Casco Historico
Calle,39,Avenida,40,Avenida,42,Calle 39 entre Avenida 40 y Avenida 42,250,Casco Historico
Calle,39,Avenida,42,Avenida,44,Calle 39 entre Avenida 42 y Avenida 44,250,Casco Historico
Calle,39,Avenida,44,Avenida,46,Calle 39 entre Avenida 44 y Avenida 46,250,Casco Historico
Calle,39,Avenida,46,Avenida,48,Calle 39 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,39,Avenida,48,Avenida,50,Calle 39 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,39,Avenida,50,Avenida,52,Calle 39 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,39,Avenida,52,Avenida,54,Calle 39 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,39,Avenida,54,Avenida,56,Calle 39 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,39,Avenida,56,Avenida,58,Calle 39 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,39,Avenida,58,Avenida,60,Calle 39 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,39,Avenida,60,Avenida,62,Calle 39 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,39,Avenida,62,Avenida,64,Calle 39 entre Avenida 62 y Avenida 64,250,Casco Historico
Calle,39,Avenida,64,Avenida,66,Calle 39 entre Avenida 64 y Avenida 66,300,San Lazaro
Calle,39,Avenida,66,Avenida,68,Calle 39 entre Avenida 66 y Avenida 68,300,San Lazaro
Calle,39,Avenida,68,Avenida,70,Calle 39 entre Avenida 68 y Avenida 70,300,San Lazaro
Calle,39,Avenida,70,Avenida,72,Calle 39 entre Avenida 70 y Avenida 72,300,San Lazaro
Calle,39,Avenida,72,Avenida,74,Calle 39 entre Avenida 72 y Avenida 74,300,San Lazaro
Calle,39,Avenida,74,Avenida,76,Calle 39 entre Avenida 74 y Avenida 76,300,San Lazaro
Calle,41,Avenida,8,Avenida,10,Calle 41 entre Avenida 8 y Avenida 10,300,Punta Gorda
Calle,41,Avenida,10,Avenida,12,Calle 41 entre Avenida 10 y Avenida 12,300,Punta Gorda
Calle,41,Avenida,12,Avenida,14,Calle 41 entre Avenida 12 y Avenida 14,250,Punta Gorda
Calle,41,Avenida,14,Avenida,16,Calle 41 entre Avenida 14 y Avenida 16,250,Punta Gorda
Calle,41,Avenida,16,Avenida,18,Calle 41 entre Avenida 16 y Avenida 18,250,Punta Gorda
Calle,41,Avenida,18,Avenida,20,Calle 41 entre Avenida 18 y Avenida 20,250,Punta Gorda
Calle,41,Avenida,20,Avenida,22,Calle 41 entre Avenida 20 y Avenida 22,250,Punta Gorda
Calle,41,Avenida,22,Avenida,24,Calle 41 entre Avenida 22 y Avenida 24,250,Casco Historico
Calle,41,Avenida,24,Avenida,26,Calle 41 entre Avenida 24 y Avenida 26,250,Casco Historico
Calle,41,Avenida,32,Avenida,34,Calle 41 entre Avenida 32 y Avenida 34,250,Casco Historico
Calle,41,Avenida,34,Avenida,36,Calle 41 entre Avenida 34 y Avenida 36,250,Casco Historico
Calle,41,Avenida,36,Avenida,38,Calle 41 entre Avenida 36 y Avenida 38,250,Casco Historico
Calle,41,Avenida,38,Avenida,40,Calle 41 entre Avenida 38 y Avenida 40,250,Casco Historico
Calle,41,Avenida,40,Avenida,42,Calle 41 entre Avenida 40 y Avenida 42,250,Casco Historico
Calle,41,Avenida,42,Avenida,44,Calle 41 entre Avenida 42 y Avenida 44,250,Casco Historico
Calle,41,Avenida,44,Avenida,46,Calle 41 entre Avenida 44 y Avenida 46,250,Casco Historico
Calle,41,Avenida,46,Avenida,48,Calle 41 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,41,Avenida,48,Avenida,50,Calle 41 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,41,Avenida,50,Avenida,52,Calle 41 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,41,Avenida,52,Avenida,54,Calle 41 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,41,Avenida,54,Avenida,56,Calle 41 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,41,Avenida,56,Avenida,58,Calle 41 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,41,Avenida,58,Avenida,60,Calle 41 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,41,Avenida,60,Avenida,62,Calle 41 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,41,Avenida,62,Avenida,64,Calle 41 entre Avenida 62 y Avenida 64,250,Casco Historico
Calle,41,Avenida,64,Avenida,66,Calle 41 entre Avenida 64 y Avenida 66,300,San Lazaro
Calle,41,Avenida,66,Avenida,68,Calle 41 entre Avenida 66 y Avenida 68,300,San Lazaro
Calle,41,Avenida,68,Avenida,70,Calle 41 entre Avenida 68 y Avenida 70,300,San Lazaro
Calle,43,Avenida,12,Avenida,14,Calle 43 entre Avenida 12 y Avenida 14,250,Punta Gorda
